cell_id,cluster,mean_event_prob,burden_rate,m6a_freq_cell,n_significant
SRR15269445,0,0.33973969113278046,0.008479987739776762,0.030315582049277003,332
SRR15269895,2,0.34301206224269903,0.008415442336687822,0.032964522014603106,240
SRR15269132,0,0.3390816916697969,0.008369098712446352,0.031072472796227466,351
SRR15269771,2,0.34139516337996106,0.008347052537330675,0.030798426988387213,289
SRR15269666,0,0.3393564909471993,0.008282412904346819,0.026897772987493,286
SRR15269123,0,0.3425306246335839,0.008101581366362857,0.030678339614215306,312
SRR15268916,0,0.34095147828507194,0.008064516129032258,0.025522413323022065,289
SRR15269905,2,0.3425000887399064,0.008053427617363976,0.028705334027177884,205
SRR15269756,2,0.33659599092903164,0.007984705353126407,0.03003052502557272,284
SRR15270048,1,0.3489330961572053,0.00797177208572922,0.02162120850401319,183
SRR15269871,0,0.3393317537257011,0.007958712481325547,0.031067679675436163,293
SRR15269576,0,0.33705539218276565,0.007828300854212768,0.028767807470239038,329
SRR15270040,0,0.3380762857610919,0.007825698101957667,0.02925095783964381,315
SRR15269012,0,0.3399716659700832,0.007822945410064576,0.02970491952463299,275
SRR15268894,0,0.344026958426559,0.007818327485703234,0.03208490304719158,283
SRR15269970,2,0.34085041401265664,0.007787169986104678,0.027027903738176047,269
SRR15269047,0,0.33931121978649986,0.007695833634894213,0.027001242217100447,319
SRR15269656,0,0.3372196825664545,0.007695776341500075,0.02851911762167585,256
SRR15269307,2,0.34102906396994237,0.007674125917058047,0.027664230292396598,250
SRR15269584,0,0.3403102326393468,0.007543103448275862,0.026256764896086443,301
SRR15270036,2,0.340989774307457,0.007510511816731912,0.025272228637879184,259
SRR15269914,2,0.3439864481076567,0.007502597052825979,0.020477559987132358,195
SRR15269056,0,0.33941105526293386,0.00747809447074227,0.028430158486261414,297
SRR15270100,0,0.34013570164840434,0.007350502929147784,0.02724986741871353,266
SRR15269911,0,0.34170216528678427,0.0073321910905059465,0.02983305071679422,291
SRR15269850,2,0.34263563125562924,0.007312795738062937,0.024728149106643203,221
SRR15269170,0,0.3388574479498429,0.007249242124686964,0.028570497874894372,275
SRR15269687,0,0.33952958986572124,0.007205845301083397,0.02627363263646572,286
SRR15268456,2,0.343864280721863,0.007197737853817372,0.03000827910785907,252
SRR15270067,2,0.3434351639910993,0.007197161682716675,0.025521572831202884,213
SRR15269968,2,0.34140527663954967,0.007194040036396725,0.024524035845027655,253
SRR15268930,2,0.3417739114308679,0.007116071692207754,0.023001448816032437,241
SRR15268902,0,0.34312057411748553,0.00711207404092975,0.029203991067115586,302
SRR15269049,0,0.340364173913981,0.0070441222589438645,0.029192674605443864,292
SRR15269036,0,0.34229472941505684,0.0070137040813788645,0.03126618064526287,282
SRR15269926,2,0.34210903403116594,0.007013243454873523,0.030550363608449406,206
SRR15269997,2,0.33758685659420534,0.0069606960696069605,0.02243194811844014,232
SRR15269721,0,0.3375626129469942,0.006951018984503463,0.02839864831632543,279
SRR15268437,0,0.3410800260824367,0.006926732354283567,0.02360169388231279,258
SRR15269150,0,0.3412410056185062,0.006809877090023253,0.022068647852861292,246
SRR15269099,2,0.34255928101632405,0.0068090169894889935,0.029763902962736774,206
SRR15269787,0,0.3368207467901859,0.00678986246176039,0.026402926849083536,273
SRR15268910,0,0.34122290329070615,0.0067094592809784186,0.025956018549917335,254
SRR15269856,1,0.3572550383997728,0.006660221291223547,0.019034404540888228,124
SRR15268943,0,0.3412848902948949,0.006643467257197089,0.025608732940678194,273
SRR15270042,0,0.34120444709225045,0.0066252804006468775,0.02891979186758372,254
SRR15269232,0,0.34055008026897193,0.006622339715346204,0.028928034991168094,248
SRR15268970,0,0.3413125343385174,0.006590223295111648,0.023355211816161604,273
SRR15269197,0,0.34080665800898025,0.006564939673527325,0.02599247042957885,259
SRR15269183,2,0.34310193423807517,0.006552134930089661,0.026665631482048733,209
SRR15269231,0,0.3400705021245204,0.0065125713980675815,0.0261822322324945,244
SRR15268927,0,0.33999451781241435,0.006512036291797761,0.026475250964877024,267
