cell_id,n_entries,n_significant,n_detected_entries,mean_event_prob,median_event_prob,event_prob_std,mean_event_prob_residual,total_Y,total_N,n_sites,mean_posterior_fg,burden_rate,detected_entry_rate,m6a_freq_cell,cell_rank
SRR15268916,35836,289,11026,0.34095147828507194,0.326589095,0.27078257337054,0.32136698429200644,176267.0,6906361,35836,,0.008064516129032258,0.30767942850764596,0.025522413323022065,44.0
SRR15269905,25455,205,7818,0.3425000887399064,0.32460284,0.26912604934170514,0.3223753079088412,132885.0,4629279,25455,,0.008053427617363976,0.3071302298173247,0.028705334027177884,45.0
SRR15269756,35568,284,10736,0.33659599092903164,0.319635255,0.2704422444195123,0.31721801541045214,185102.0,6163795,35568,,0.007984705353126407,0.30184435447593344,0.03003052502557272,46.0
SRR15270048,22956,183,7295,0.3489330961572053,0.33463369,0.27173542798916295,0.3281267923441842,137207.0,6345945,22956,,0.00797177208572922,0.3177818435267468,0.02162120850401319,47.0
SRR15269871,36815,293,11285,0.3393317537257011,0.32628015,0.27179607316699667,0.32000868095720486,183448.0,5904786,36815,,0.007958712481325547,0.3065326633165829,0.031067679675436163,48.0
SRR15269576,42027,329,12887,0.33705539218276565,0.32326245,0.2721481058258209,0.31796677234893034,262592.0,9127981,42027,,0.007828300854212768,0.30663621005544056,0.028767807470239038,49.0
SRR15270040,40252,315,12338,0.3380762857610919,0.324773595,0.27189086259970885,0.3189435097048122,193591.0,6618279,40252,,0.007825698101957667,0.30651893073636094,0.02925095783964381,50.0
SRR15269012,35153,275,10765,0.3399716659700832,0.32523128,0.26939789688806276,0.32042320178761236,131873.0,4439433,35153,,0.007822945410064576,0.3062327539612551,0.02970491952463299,51.0
SRR15268894,36197,283,11352,0.344026958426559,0.3298731,0.2717876983619088,0.32418747788610774,177453.0,5530732,36197,,0.007818327485703234,0.31361715059259054,0.03208490304719158,52.0
SRR15269970,34544,269,10585,0.34085041401265664,0.32515276000000004,0.2702866359279638,0.3212072585704547,179140.0,6627965,34544,,0.007787169986104678,0.30642079666512273,0.027027903738176047,53.0
SRR15269047,41451,319,12885,0.33931121978649986,0.32619643,0.27339935288424577,0.32000985346528105,255228.0,9452454,41451,,0.007695833634894213,0.31084895418687125,0.027001242217100447,54.0
SRR15269656,33265,256,10019,0.3372196825664545,0.32075858,0.26916463213739616,0.31797831739420196,133835.0,4692817,33265,,0.007695776341500075,0.3011874342401924,0.02851911762167585,55.0
SRR15269307,32577,250,9955,0.34102906396994237,0.3256051,0.270167679380697,0.3211703554856856,130961.0,4733947,32577,,0.007674125917058047,0.30558369401725144,0.027664230292396598,56.0
SRR15269584,39904,301,12358,0.3403102326393468,0.32726183,0.27204818890280424,0.32102638952786317,201140.0,7660502,39904,,0.007543103448275862,0.3096932638331997,0.026256764896086443,57.0
SRR15270036,34485,259,10668,0.340989774307457,0.32566223,0.2718501011904893,0.3213669324394505,172294.0,6817523,34485,,0.007510511816731912,0.30935189212701175,0.025272228637879184,58.0
SRR15269914,25991,195,8058,0.3439864481076567,0.32827687,0.2701893409037961,0.3238641559985211,119164.0,5819248,25991,,0.007502597052825979,0.3100303951367781,0.020477559987132358,59.0
SRR15269056,39716,297,12197,0.33941105526293386,0.32602709500000004,0.2715112298678953,0.3202216944415975,159307.0,5603451,39716,,0.00747809447074227,0.30710544868566825,0.028430158486261414,60.0
SRR15270100,36188,266,11043,0.34013570164840434,0.326294765,0.26912420666869324,0.3208058833705228,143565.0,5268466,36188,,0.007350502929147784,0.30515640543826683,0.02724986741871353,61.0
SRR15269911,39688,291,12383,0.34170216528678427,0.32741386,0.2726028885768354,0.3221377756323666,191363.0,6414463,39688,,0.0073321910905059465,0.31200866760733725,0.02983305071679422,62.0
SRR15269850,30221,221,9449,0.34263563125562924,0.32997787,0.27210358921847033,0.3229874899036366,102030.0,4126067,30221,,0.007312795738062937,0.3126633797690348,0.024728149106643203,63.0
SRR15269170,37935,275,11613,0.3388574479498429,0.32324225,0.2715574310458388,0.3195063716799046,134194.0,4696943,37935,,0.007249242124686964,0.30612890470541715,0.028570497874894372,64.0
SRR15269687,39690,286,12215,0.33952958986572124,0.32632448000000003,0.2716954562353263,0.3202393357047928,246588.0,9385379,39690,,0.007205845301083397,0.30776014109347444,0.02627363263646572,65.0
SRR15268456,35011,252,10909,0.343864280721863,0.3301896,0.271791749350708,0.3240840231878712,83909.0,2796195,35011,,0.007197737853817372,0.31158778669560994,0.03000827910785907,66.0
SRR15270067,29595,213,9197,0.3434351639910993,0.32738638,0.27153879594802544,0.3232392410906823,85615.0,3354613,29595,,0.007197161682716675,0.31076195303260684,0.025521572831202884,67.0
SRR15269968,35168,253,10818,0.34140527663954967,0.32677944000000003,0.26997716624785056,0.32193890204018216,112023.0,4567886,35168,,0.007194040036396725,0.30760919017288446,0.024524035845027655,68.0
SRR15268930,33867,241,10530,0.3417739114308679,0.32662013,0.2724879307192441,0.3218874791802082,157776.0,6859394,33867,,0.007116071692207754,0.31092213659314377,0.023001448816032437,69.0
SRR15268902,42463,302,13353,0.34312057411748553,0.33113343,0.27379577553113277,0.3238034622532566,217524.0,7448434,42463,,0.00711207404092975,0.3144620022136919,0.029203991067115586,70.0
SRR15269049,41453,292,12870,0.340364173913981,0.32659057,0.2735499213821155,0.32110261725193107,146307.0,5011771,41453,,0.0070441222589438645,0.31047210093358746,0.029192674605443864,71.0
SRR15269036,40207,282,12572,0.34229472941505684,0.32960898,0.27275580007092665,0.3229284678279497,123125.0,3937961,40207,,0.0070137040813788645,0.31268187131594,0.03126618064526287,72.0
SRR15269926,29373,206,8982,0.34210903403116594,0.32541293,0.2674774457623024,0.32233005422104904,86759.0,2839868,29373,,0.007013243454873523,0.3057910325809417,0.030550363608449406,73.0
SRR15269997,33330,232,10059,0.33758685659420534,0.32006284500000004,0.2697842997497885,0.3183098881928416,111724.0,4980575,33330,,0.0069606960696069605,0.3018001800180018,0.02243194811844014,74.0
SRR15269721,40138,279,12233,0.3375626129469942,0.32230064999999997,0.271652273192835,0.3184708464287202,172642.0,6079233,40138,,0.006951018984503463,0.3047735313169565,0.02839864831632543,75.0
SRR15268437,37247,258,11470,0.3410800260824367,0.3265119,0.27112501402257877,0.32171012514026637,81327.0,3445812,37247,,0.006926732354283567,0.30794426396756786,0.02360169388231279,76.0
SRR15269150,36124,246,11111,0.3412410056185062,0.326152355,0.2707740706498526,0.32173977144920013,120641.0,5466624,36124,,0.006809877090023253,0.3075794485660503,0.022068647852861292,77.0
SRR15269099,30254,206,9348,0.34255928101632405,0.326491715,0.2699997881258473,0.3227502838887552,76516.0,2570765,30254,,0.0068090169894889935,0.3089839360084617,0.029763902962736774,78.0
SRR15269787,40207,273,12269,0.3368207467901859,0.321497,0.27184138223373644,0.31770231264634397,179394.0,6794474,40207,,0.00678986246176039,0.305145870122118,0.026402926849083536,79.0
SRR15268910,37857,254,11704,0.34122290329070615,0.32770312,0.2716497558255477,0.32168390535340075,137776.0,5308056,37857,,0.0067094592809784186,0.30916343080539926,0.025956018549917335,80.0
SRR15269856,18618,124,6049,0.3572550383997728,0.3403805,0.26974929591785296,0.3357153093675618,42897.0,2253656,18618,,0.006660221291223547,0.3249006337952519,0.019034404540888228,81.0
SRR15268943,41093,273,12773,0.3412848902948949,0.32786337,0.27253956581499456,0.32199479298090217,206002.0,8044209,41093,,0.006643467257197089,0.31083152848417006,0.025608732940678194,82.0
SRR15270042,38338,254,11849,0.34120444709225045,0.32685915,0.272225259449638,0.3216716620489934,155634.0,5381574,38338,,0.0066252804006468775,0.30906672231206633,0.02891979186758372,83.0
SRR15269232,37449,248,11500,0.34055008026897193,0.32597926,0.2705316066135579,0.321176875671865,120371.0,4161050,37449,,0.006622339715346204,0.30708430131645703,0.028928034991168094,84.0
SRR15268970,41425,273,12867,0.3413125343385174,0.32689154,0.2728499260187267,0.3220246702247788,139013.0,5952119,41425,,0.006590223295111648,0.31060953530476765,0.023355211816161604,85.0
SRR15269197,39452,259,12212,0.34080665800898025,0.32716482999999996,0.2720950531880916,0.32163954400174755,92515.0,3559300,39452,,0.006564939673527325,0.30954070769542735,0.02599247042957885,86.0
SRR15269183,31898,209,9871,0.34310193423807517,0.32749736,0.270229499686791,0.32306723009401894,100633.0,3773884,31898,,0.006552134930089661,0.309455138253182,0.026665631482048733,87.0
SRR15269231,37466,244,11547,0.3400705021245204,0.326727275,0.2714286295074027,0.3206626072940226,169882.0,6488446,37466,,0.0065125713980675815,0.3081994341536326,0.0261822322324945,88.0
SRR15268927,41001,267,12593,0.33999451781241435,0.3269214,0.2716942505223588,0.32076928820608946,174951.0,6608096,41001,,0.006512036291797761,0.3071388502719446,0.026475250964877024,89.0
SRR15269172,36654,237,11251,0.33928420107734475,0.32449574999999997,0.27171298475258804,0.31979132336932575,189666.0,7799816,36654,,0.006465870027827795,0.30695149233371527,0.02431672747151984,90.0
SRR15269827,38274,243,11701,0.33895077015784497,0.323768525,0.2705543415526476,0.3196918316987713,135530.0,4792015,38274,,0.006348957516852171,0.3057166745048858,0.028282465726839335,91.0
SRR15270062,35495,225,10812,0.33934380810980863,0.32257742,0.2704638972918314,0.31993885004631767,112936.0,4972013,35495,,0.006338920974785181,0.30460628257501055,0.022714341253733648,92.0
SRR15269759,38308,240,11651,0.3383212867562358,0.32373586,0.26936961761628286,0.3192061695862152,158268.0,5952797,38308,,0.0062650099195990395,0.304140127388535,0.026587165663468786,93.0
SRR15268909,43738,274,13714,0.34107571351856136,0.329424265,0.274988701155293,0.32175391940336884,224555.0,8499294,43738,,0.006264575426402671,0.3135488591156432,0.02642042974392932,94.0
SRR15269602,41846,260,13151,0.3434649755669963,0.33158129999999997,0.27400468751524937,0.3239115680743715,124319.0,4961731,41846,,0.006213258136978444,0.3142713759977059,0.025055570324146955,95.0
SRR15269447,42527,263,13257,0.3398787925825545,0.32711074,0.2741964305349359,0.3204158779564183,239509.0,8695769,42527,,0.006184306440614198,0.31173137065864037,0.027543164957578796,96.0
SRR15269200,35977,220,11142,0.3422691539369029,0.32668552,0.27130457544241604,0.3226359225709009,101412.0,3945732,35977,,0.006115017928120744,0.30969786252327874,0.02570169489463552,97.0
SRR15269583,44028,268,13722,0.34123990896275397,0.32913453000000004,0.2732279325088445,0.3219041765914096,251249.0,10244062,44028,,0.006087035522849096,0.3116653038975198,0.02452630606882309,98.0
SRR15269770,37072,223,11400,0.34036445856235725,0.324876575,0.27169463436330343,0.3209616054361237,139225.0,6355179,37072,,0.0060153215364695724,0.3075097108329737,0.021907329439501234,99.0
SRR15269766,38100,227,11816,0.34141302135880075,0.3266401,0.2717835415934442,0.3217925963361908,142618.0,5510711,38100,,0.005958005249343832,0.3101312335958005,0.025880145048433858,100.0
SRR15270035,39645,236,12272,0.3411180297417081,0.3274567,0.27272473261047475,0.32171750518115694,136792.0,5322804,39645,,0.005952831378484046,0.3095472316811704,0.02569923671809069,101.0
SRR15268939,43928,259,13784,0.34221576046669333,0.331116155,0.27332261152447856,0.3230277802355501,173374.0,7005802,43928,,0.0058960116554361685,0.3137861955927882,0.024747202390247396,102.0
SRR15269238,42757,251,13320,0.3408478098545293,0.32997394,0.273160614390405,0.321590260474761,148524.0,5563963,42757,,0.0058703837968052015,0.3115279369459971,0.026693923018539123,103.0
SRR15269660,40246,236,12529,0.34209204915844926,0.32915292500000004,0.2729195483895178,0.3225200218212332,190952.0,7621055,40246,,0.005863936788749193,0.31131044078914677,0.025055848566897892,104.0
SRR15269004,38159,223,11809,0.34157288272640124,0.3271739,0.27157929950232396,0.32223195740891986,124714.0,6192795,38159,,0.005843968657459577,0.3094682774705836,0.020138564250875412,105.0
SRR15269349,36963,216,11497,0.3415630907039438,0.32805967,0.2719915411201314,0.32210228954217723,195154.0,8434864,36963,,0.005843681519357195,0.31104077050022994,0.02313659117681091,106.0
SRR15269235,40378,235,12648,0.34222045834260356,0.328731805,0.27362379830816863,0.3227208120363936,153442.0,6979704,40378,,0.005820000990638467,0.31323988310466094,0.021984026829791063,107.0
SRR15269511,40097,233,12392,0.34003825607634397,0.3259484,0.2721917175395487,0.320649842820648,160507.0,7488617,40097,,0.005810908546774073,0.30905055241040474,0.02143346361551138,108.0
SRR15269927,40041,232,12395,0.34039690293678226,0.32634678,0.2725360629956223,0.32099259064017105,219830.0,9152579,40041,,0.00579406108738543,0.3095577033540621,0.024018366845017125,109.0
SRR15268952,38257,221,11916,0.34122660859197435,0.32884008,0.27300098856700283,0.3217980673716689,107242.0,4487546,38257,,0.005776720600151606,0.31147241027785766,0.02389769375066016,110.0
SRR15269963,41464,239,12660,0.338951044899618,0.325313195,0.2714029283374808,0.31976276213829224,148654.0,5723013,41464,,0.005764036272429095,0.30532510129268764,0.025974779368839455,111.0
SRR15269241,38843,223,12030,0.340365555263821,0.3279013,0.2728536292662962,0.3208870771068379,143303.0,5870795,38843,,0.005741060165280746,0.3097083129521407,0.024409470948994132,112.0
SRR15269237,40095,229,12469,0.34146385480075025,0.32781118,0.2730127193981449,0.3219752145196649,195749.0,7747517,40095,,0.0057114353410649705,0.3109864072827036,0.025266030393995907,113.0
SRR15269556,37653,214,11715,0.34193573932170507,0.32870686,0.27226326435642856,0.3225679659238908,118018.0,5623858,37653,,0.005683478076116113,0.31113058720420683,0.020985238247480643,114.0
SRR15269674,43494,244,13574,0.34121596945802407,0.329707415,0.27365480065456416,0.3217799487932031,178674.0,7183245,43494,,0.005609969191152803,0.31208902377339404,0.024873716544542197,115.0
SRR15269667,36399,203,11241,0.34184911696727127,0.32743615,0.2710795098066963,0.3223357124968841,116536.0,5725048,36399,,0.005577076293304761,0.308827165581472,0.02035546252188628,116.0
SRR15269189,39375,219,12377,0.343974520049058,0.3303398,0.2730667052862469,0.3242747972581887,124402.0,5258838,39375,,0.005561904761904762,0.3143365079365079,0.023655796204408653,117.0
SRR15269761,34094,188,10575,0.34349763040515124,0.330725625,0.2706138816398409,0.32355507517699267,94503.0,3642752,34094,,0.005514166715551124,0.3101718777497507,0.02594274877894515,118.0
SRR15269896,44629,245,13863,0.3410177681335357,0.32939765,0.27337819509844585,0.3217867356078641,200596.0,8077912,44629,,0.00548970400412288,0.31062761881287954,0.024832654775144864,119.0
SRR15269124,36851,202,11349,0.34158511281738835,0.32692298,0.2705653596330038,0.321998595732249,106638.0,3584172,36851,,0.005481533743996092,0.30796993297332503,0.029752478396684087,120.0
