split,scope,method,n,positive_n,prevalence,auprc,auroc,auprc_lift_over_random,brier,ece10,precision_at_1pct,lift_at_1pct,precision_at_5pct,lift_at_5pct,precision_at_10pct,lift_at_10pct,mean_score_positive,mean_score_negative,score_separation
test,visible_input_entries,ae_m6a_probability,4155596,45418,0.0109293588693414,0.0386988312796892,0.728012723226706,3.540814401130644,0.0107787534158676,0.0052469038844432,0.0817691789392626,7.481608017158048,0.048912311098277,4.4753138480504555,0.0382399653479641,3.4988296939569907,0.0242761217841177,0.0063651103083606,0.017911011475757
test,visible_input_entries,coverage_only,4155596,45418,0.0109293588693414,0.0098069177124045,0.4578774262538421,0.897300365890123,0.9890706411306586,0.0,0.0080854750216575,0.7397940829208665,0.0085138126864953,0.7789855551708409,0.0089926845702185,0.8228007404390708,3.908021249222164,4.097400331966551,-0.1893790827443866
test,visible_input_entries,train_site_mean_m6a,4155596,45418,0.0109293588693414,0.0479172519707382,0.7608665832519905,4.384269246126905,0.0109219207712315,0.008611399961689,0.0994080277216286,9.09550403733958,0.0587448262585426,5.374956295316723,0.0446361536240254,4.08405965598189,0.0579235049879379,0.0191166245076619,0.0388068804802759
test,visible_input_entries,train_site_significance_prior,4155596,45418,0.0109293588693414,0.0524614600223271,0.7642817850859023,4.80004917484131,0.0105962047168925,0.0007349944180844,0.1048224083164885,9.59090186072409,0.0606699393589373,5.551097743631216,0.0455553951294638,4.16816719755206,0.0367477703702362,0.0113871782752811,0.025360592094955
test,visible_input_entries,observed_ratio_upper_bound,4155596,45418,0.0109293588693414,0.753589399354104,0.9911256668026022,68.95092460254341,0.0066409970695235,0.0081671176183013,0.7062999326210415,64.6240956184832,0.2051111752815478,18.766990610667552,0.1092934834921551,9.999990374434498,0.7091060874273145,0.0114717807908486,0.6976343066364659
train,all_observed,ae_significance_head,23938995,280214,0.0117053368364043,0.0656883650424259,0.8142959929318148,5.61183039501527,0.1873269759068657,0.3307975603584977,0.1226367016166088,10.476990395970551,0.0707531642925769,6.04452185199233,0.0530423158862107,4.531464290822088,0.6566100752215817,0.338445965670931,0.3181641095506506
train,all_observed,ae_m6a_probability,23938995,280214,0.0117053368364043,0.0449446777902746,0.7552341289115774,3.839674023774672,0.0114852953153937,0.0058435050174796,0.0926396257153598,7.914306697031096,0.05407159864656,4.619397066677635,0.0424850662099502,3.629546659248535,0.0256538437241412,0.0063833835589728,0.0192704601651684
train,all_observed,coverage_only,23938995,280214,0.0117053368364043,0.0114463877211709,0.4680926590845271,0.9778776878570394,0.9882946631635956,0.0,0.0190108191653786,1.624115515091695,0.0134274614645557,1.147123030479179,0.0120330840887255,1.0279998138372086,3.999176871844788,4.121342385594293,-0.1221655137495045
train,all_observed,train_site_mean_m6a,23938995,280214,0.0117053368364043,0.0559512605229176,0.7948297323797149,4.779978680229478,0.0115418145482184,0.0078794729686864,0.1105601737750114,9.445279133801778,0.0651330464931701,5.564388911099259,0.0498065917540415,4.255032764126851,0.0608132361840521,0.0190964801750451,0.0417167560090069
train,all_observed,train_site_significance_prior,23938995,280214,0.0117053368364043,0.0673192831553666,0.8234089514642406,5.75116155102852,0.0112251062093879,2.5774842728209665e-05,0.1245039475333138,10.636511300221484,0.0717882952504281,6.13295424589251,0.0538710890179205,4.602267305147334,0.0405760523813112,0.0113373126969993,0.0292387396843118
train,all_observed,observed_ratio_upper_bound,23938995,280214,0.0117053368364043,0.7686121072202887,0.9914027513324476,65.66339080733282,0.0069036757069445,0.0086778862347682,0.7647353690630352,65.33219673650551,0.2187008646977735,18.68385914513792,0.1170533439157859,9.999997911358037,0.7232972797773067,0.0120579268741347,0.711239352903172
train,heldout_input_entries,ae_significance_head,4787799,56043,0.0117053786092523,0.0523201975722368,0.7544420717232531,4.469756965475762,0.1885876854550915,0.3322413620224593,0.1085884957600568,9.276803372615746,0.062584067839091,5.346607737200581,0.0468733029784034,4.004424337146423,0.5954091431410833,0.3389059134148438,0.2565032297262395
train,heldout_input_entries,ae_m6a_probability,4787799,56043,0.0117053786092523,0.0415835611871817,0.7250194133578192,3.5525174003609306,0.0115139750587231,0.0059029814253308,0.0890596933873595,7.608441927454037,0.0523956723338485,4.476204835649905,0.0407640252307949,3.482503778098509,0.0246420262120815,0.0064040994475506,0.0182379267645308
train,heldout_input_entries,coverage_only,4787799,56043,0.0117053786092523,0.0114326909058619,0.4698601443668114,0.9767040680619304,0.9882946213907476,0.0,0.0186724591670495,1.5952033497054197,0.0131124942562345,1.1202110323770271,0.011840511299553,1.0115444954675643,4.005850711916628,4.122093405587683,-0.1162426936710554
train,heldout_input_entries,train_site_mean_m6a,4787799,56043,0.0117053786092523,0.055931455320969,0.7948445702226713,4.778269647489972,0.0115428772003293,0.0078798675061926,0.1104056142696019,9.432041282486407,0.0652867705417937,5.577501823835795,0.0496470195079159,4.2413851926731345,0.0608498312435819,0.0190965076546419,0.04175332358894
train,heldout_input_entries,train_site_significance_prior,4787799,56043,0.0117053786092523,0.0667737494149755,0.8226346018824333,5.704535636480387,0.0112284685236266,3.485937648331283e-05,0.1246083796315635,10.64539506078583,0.0713354776724174,6.09424778588802,0.0535527799824554,4.5750574817054765,0.0403982438748556,0.0113307647458679,0.0290674791289877
train,heldout_input_entries,observed_ratio_upper_bound,4787799,56043,0.0117053786092523,0.7671470829118948,0.9913595160792704,65.53799825880996,0.006924083665105,0.0086841023154606,0.7624796357408413,65.13925445676291,0.2186432181795396,18.67886767940299,0.1170537616441789,9.999997911358037,0.7218116949226947,0.0120818240761585,0.7097298708465362
train,visible_input_entries,ae_significance_head,19151196,224171,0.0117053263931923,0.069394677433277,0.8292559091703984,5.928470091499195,0.1870117985198092,0.3305303080765819,0.1261278666610969,10.775254138530556,0.0727933497639834,6.218822723842963,0.0545840469526713,4.663180258212758,0.6719103764942146,0.3383309787410278,0.3335793977531868
train,visible_input_entries,ae_m6a_probability,19151196,224171,0.0117053263931923,0.0458792126559735,0.7627899615447604,3.9195158780584034,0.0114781253795613,0.0058286359155168,0.0935346087973599,7.990773230531892,0.0544916245457203,4.655284501712986,0.0429168929362128,3.666441369902566,0.0259067992305554,0.006378204587102,0.0195285946434533
train,visible_input_entries,coverage_only,19151196,224171,0.0117053263931923,0.0114513248209348,0.4676508085101542,0.9783003426196424,0.9882946736068076,0.0,0.0190954091649609,1.631343588681691,0.0135051589456535,1.1537618424299496,0.0120827937674923,1.0322474881622732,3.997508404384026,4.121154630605867,-0.1236462262218407
train,visible_input_entries,train_site_mean_m6a,19151196,224171,0.0117053263931923,0.0559571579977054,0.7948260644426249,4.780486773119733,0.0115415488851906,0.0078793743343097,0.1105988136513638,9.448588611393737,0.0650946154810142,5.561110668291341,0.0498402188896779,4.257909366684917,0.0608040873783581,0.0190964733051462,0.0417076140732118
train,visible_input_entries,train_site_significance_prior,19151196,224171,0.0117053263931923,0.0674606147907281,0.8236025916475788,5.763240812316192,0.0112242656308282,2.3626549669487946e-05,0.1244830611136638,10.634736438110886,0.0719046326078783,6.142898556822558,0.0539506662767868,4.609069791352739,0.0406205047062207,0.0113389496846957,0.0292815550215249
train,visible_input_entries,observed_ratio_upper_bound,19151196,224171,0.0117053263931923,0.768978021228544,0.9914135198735592,65.69470986095439,0.0068985737174044,0.0086763322145951,0.7652366431346339,65.37507946636018,0.2187173649692969,18.68528545231337,0.1170532394836877,9.999997911358037,0.7236686776477138,0.0120519525739444,0.7116167250737694
val,all_observed,ae_significance_head,4981543,59437,0.01193144373139,0.0527939741611448,0.7549339613287877,4.424776695065898,0.1886789801172789,0.3322438957102103,0.1094427493174883,9.172632564955986,0.0641445651562964,5.376094176058555,0.0479649908161114,4.020049199069002,0.5960947575799602,0.3390628609061883,0.2570318966737719
val,all_observed,ae_m6a_probability,4981543,59437,0.01193144373139,0.0428442138523696,0.7261183558027098,3.5908658513514324,0.0117247624744077,0.0060311103438718,0.092801509555163,7.777894414488541,0.0543845702952488,4.558087983281542,0.0421415021429073,3.5319700693084277,0.0248489469843786,0.0064524098751333,0.0183965371092453
val,all_observed,coverage_only,4981543,59437,0.01193144373139,0.0127910966006478,0.4785413347030953,1.0720493587038546,0.98806855626861,0.0,0.027360687329372,2.2931581412389965,0.0171432242108897,1.4368105483989506,0.014499503166685,1.2152345929888426,4.124370173655878,4.184137738530789,-0.0597675648749111
val,all_observed,train_site_mean_m6a,4981543,59437,0.01193144373139,0.0505693210851544,0.7570558911700955,4.238323728763286,0.0118332208237417,0.0076832064840009,0.1052071623574755,8.817638898190449,0.0622094283718353,5.213906193780266,0.0475133241661731,3.982194044227179,0.0570712114718343,0.0191623426804863,0.037908868791348
val,all_observed,train_site_significance_prior,4981543,59437,0.01193144373139,0.054885469338893,0.760989638572845,4.600069411088667,0.0115412768641344,0.000415349078701,0.1113899148867833,9.335828705601754,0.0648270822794466,5.433297406322683,0.0486214130140217,4.075065357439119,0.0359804921803733,0.0113841864014024,0.0245963057789708
val,all_observed,observed_ratio_upper_bound,4981543,59437,0.01193144373139,0.7805610813674599,0.9920099141339276,65.42050559346032,0.0067977682036239,0.0086890680369749,0.7876585835876023,66.01536254287288,0.2244919262239137,18.81515190264068,0.119314269655027,9.99998594814867,0.7333345090064105,0.0120141181121053,0.7213203908943051
